timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:14:51.988, 11.30 W, 0 %
2026/02/12 17:14:52.988, 10.99 W, 0 %
2026/02/12 17:14:53.989, 10.50 W, 0 %
2026/02/12 17:14:54.989, 9.95 W, 0 %
2026/02/12 17:14:55.989, 10.36 W, 0 %
2026/02/12 17:14:56.989, 10.92 W, 0 %
2026/02/12 17:14:57.989, 11.29 W, 0 %
2026/02/12 17:14:58.989, 10.94 W, 0 %
2026/02/12 17:14:59.989, 10.33 W, 0 %
2026/02/12 17:15:00.990, 10.31 W, 0 %
2026/02/12 17:15:01.990, 10.21 W, 0 %
2026/02/12 17:15:02.990, 10.54 W, 0 %
2026/02/12 17:15:03.990, 10.58 W, 0 %
2026/02/12 17:15:04.990, 11.01 W, 0 %
2026/02/12 17:15:05.990, 11.00 W, 0 %
2026/02/12 17:15:06.991, 11.15 W, 0 %
2026/02/12 17:15:07.991, 10.78 W, 0 %
2026/02/12 17:15:08.991, 10.55 W, 0 %
2026/02/12 17:15:09.991, 10.73 W, 0 %
2026/02/12 17:15:10.991, 10.61 W, 0 %
2026/02/12 17:15:11.991, 10.43 W, 0 %
2026/02/12 17:15:12.992, 10.26 W, 0 %
2026/02/12 17:15:13.992, 11.11 W, 0 %
2026/02/12 17:15:14.992, 11.15 W, 0 %
2026/02/12 17:15:15.992, 10.88 W, 0 %
2026/02/12 17:15:16.992, 10.37 W, 0 %
2026/02/12 17:15:17.992, 10.09 W, 0 %
2026/02/12 17:15:18.992, 10.18 W, 0 %
2026/02/12 17:15:19.993, 10.42 W, 0 %
2026/02/12 17:15:20.993, 10.51 W, 0 %
2026/02/12 17:15:21.993, 10.99 W, 0 %
2026/02/12 17:15:22.993, 11.05 W, 0 %
2026/02/12 17:15:23.993, 10.66 W, 0 %
2026/02/12 17:15:24.993, 10.43 W, 0 %
2026/02/12 17:15:25.994, 10.68 W, 0 %
2026/02/12 17:15:26.994, 10.94 W, 0 %
2026/02/12 17:15:27.994, 10.93 W, 0 %
2026/02/12 17:15:28.994, 11.07 W, 0 %
2026/02/12 17:15:29.994, 10.83 W, 0 %
2026/02/12 17:15:30.995, 10.60 W, 0 %
2026/02/12 17:15:31.995, 10.66 W, 0 %
2026/02/12 17:15:32.995, 10.35 W, 0 %
2026/02/12 17:15:33.995, 9.93 W, 0 %
2026/02/12 17:15:34.995, 9.99 W, 0 %
2026/02/12 17:15:35.995, 10.21 W, 0 %
2026/02/12 17:15:36.995, 10.41 W, 0 %
2026/02/12 17:15:37.996, 10.44 W, 0 %
2026/02/12 17:15:38.996, 10.40 W, 0 %
2026/02/12 17:15:39.996, 10.75 W, 0 %
2026/02/12 17:15:40.996, 10.78 W, 0 %
2026/02/12 17:15:41.996, 10.96 W, 0 %
2026/02/12 17:15:42.996, 12.09 W, 0 %
2026/02/12 17:15:43.996, 12.02 W, 0 %
2026/02/12 17:15:44.997, 11.52 W, 0 %
2026/02/12 17:15:45.997, 10.87 W, 0 %
2026/02/12 17:15:46.997, 10.64 W, 0 %
2026/02/12 17:15:47.997, 11.47 W, 0 %
2026/02/12 17:15:48.997, 11.64 W, 0 %
2026/02/12 17:15:49.997, 11.47 W, 0 %
2026/02/12 17:15:50.997, 11.47 W, 0 %
2026/02/12 17:15:51.997, 11.48 W, 0 %
2026/02/12 17:15:52.998, 11.21 W, 0 %
2026/02/12 17:15:53.998, 10.71 W, 0 %
2026/02/12 17:15:54.998, 11.13 W, 0 %
2026/02/12 17:15:55.998, 10.65 W, 0 %
2026/02/12 17:15:56.998, 10.61 W, 0 %
2026/02/12 17:15:57.999, 10.59 W, 0 %
2026/02/12 17:15:58.999, 10.31 W, 0 %
2026/02/12 17:15:59.999, 10.15 W, 0 %
2026/02/12 17:16:00.999, 10.25 W, 0 %
2026/02/12 17:16:01.999, 10.12 W, 0 %
2026/02/12 17:16:02.999, 9.76 W, 0 %
2026/02/12 17:16:03.999, 9.81 W, 0 %
2026/02/12 17:16:05.000, 9.76 W, 0 %
2026/02/12 17:16:06.000, 9.73 W, 0 %
2026/02/12 17:16:07.000, 9.71 W, 0 %
2026/02/12 17:16:08.000, 9.57 W, 0 %
2026/02/12 17:16:09.000, 9.66 W, 0 %
2026/02/12 17:16:10.001, 10.61 W, 0 %
2026/02/12 17:16:11.001, 10.62 W, 0 %
2026/02/12 17:16:12.001, 10.90 W, 0 %
2026/02/12 17:16:13.001, 11.03 W, 0 %
2026/02/12 17:16:14.001, 10.95 W, 0 %
2026/02/12 17:16:15.001, 11.01 W, 0 %
2026/02/12 17:16:16.002, 11.22 W, 0 %
2026/02/12 17:16:17.002, 10.40 W, 0 %
2026/02/12 17:16:18.002, 10.40 W, 0 %
2026/02/12 17:16:19.002, 10.04 W, 0 %
2026/02/12 17:16:20.002, 10.19 W, 0 %
2026/02/12 17:16:21.002, 10.34 W, 0 %
2026/02/12 17:16:22.002, 10.10 W, 0 %
2026/02/12 17:16:23.003, 9.73 W, 0 %
2026/02/12 17:16:24.003, 10.42 W, 0 %
2026/02/12 17:16:25.003, 10.06 W, 0 %
2026/02/12 17:16:26.003, 9.93 W, 0 %
2026/02/12 17:16:27.003, 10.28 W, 0 %
2026/02/12 17:16:28.003, 10.93 W, 0 %
2026/02/12 17:16:29.004, 10.74 W, 0 %
2026/02/12 17:16:30.004, 10.22 W, 0 %
2026/02/12 17:16:31.004, 10.76 W, 0 %
2026/02/12 17:16:32.004, 10.99 W, 0 %
2026/02/12 17:16:33.004, 10.79 W, 0 %
2026/02/12 17:16:34.004, 10.46 W, 0 %
2026/02/12 17:16:35.005, 9.95 W, 0 %
2026/02/12 17:16:36.005, 9.97 W, 0 %
2026/02/12 17:16:37.005, 10.46 W, 0 %
2026/02/12 17:16:38.005, 11.51 W, 0 %
2026/02/12 17:16:39.005, 11.34 W, 0 %
2026/02/12 17:16:40.005, 11.12 W, 0 %
2026/02/12 17:16:41.006, 10.78 W, 0 %
2026/02/12 17:16:42.006, 10.67 W, 0 %
2026/02/12 17:16:43.006, 10.43 W, 0 %
2026/02/12 17:16:44.006, 10.15 W, 0 %
2026/02/12 17:16:45.006, 10.17 W, 0 %
2026/02/12 17:16:46.006, 10.98 W, 0 %
2026/02/12 17:16:47.006, 10.99 W, 0 %
2026/02/12 17:16:48.007, 10.68 W, 0 %
2026/02/12 17:16:49.007, 10.44 W, 0 %
2026/02/12 17:16:50.007, 10.47 W, 0 %
2026/02/12 17:16:51.007, 10.17 W, 0 %
2026/02/12 17:16:52.007, 9.85 W, 0 %
2026/02/12 17:16:53.007, 9.95 W, 0 %
2026/02/12 17:16:54.008, 9.76 W, 0 %
2026/02/12 17:16:55.008, 10.65 W, 0 %
2026/02/12 17:16:56.008, 11.08 W, 0 %
2026/02/12 17:16:57.008, 10.83 W, 0 %
2026/02/12 17:16:58.008, 10.60 W, 0 %
2026/02/12 17:16:59.008, 11.20 W, 0 %
2026/02/12 17:17:00.009, 10.88 W, 0 %
2026/02/12 17:17:01.009, 10.39 W, 0 %
2026/02/12 17:17:02.009, 10.27 W, 0 %
2026/02/12 17:17:03.009, 10.41 W, 0 %
