timestamp, power.draw [W], utilization.gpu [%]
2025/12/19 10:34:08.096, 322.58 W, 100 %
2025/12/19 10:34:09.096, 319.46 W, 100 %
2025/12/19 10:34:10.097, 319.90 W, 100 %
2025/12/19 10:34:11.097, 319.65 W, 100 %
2025/12/19 10:34:12.097, 319.23 W, 100 %
2025/12/19 10:34:13.097, 318.98 W, 100 %
2025/12/19 10:34:14.097, 319.21 W, 100 %
2025/12/19 10:34:15.097, 319.49 W, 100 %
2025/12/19 10:34:16.097, 318.61 W, 100 %
2025/12/19 10:34:17.098, 317.09 W, 100 %
2025/12/19 10:34:18.098, 319.52 W, 100 %
2025/12/19 10:34:19.098, 318.23 W, 100 %
2025/12/19 10:34:20.098, 319.02 W, 100 %
2025/12/19 10:34:21.098, 319.70 W, 100 %
2025/12/19 10:34:22.098, 318.35 W, 100 %
2025/12/19 10:34:23.099, 319.56 W, 100 %
2025/12/19 10:34:24.099, 320.32 W, 100 %
2025/12/19 10:34:25.099, 318.00 W, 100 %
2025/12/19 10:34:26.099, 319.07 W, 100 %
2025/12/19 10:34:27.099, 319.12 W, 100 %
2025/12/19 10:34:28.099, 318.66 W, 100 %
2025/12/19 10:34:29.100, 319.49 W, 100 %
2025/12/19 10:34:30.100, 319.05 W, 100 %
2025/12/19 10:34:31.100, 319.09 W, 100 %
2025/12/19 10:34:32.100, 319.49 W, 100 %
2025/12/19 10:34:33.100, 317.92 W, 100 %
2025/12/19 10:34:34.100, 319.52 W, 100 %
2025/12/19 10:34:35.100, 318.72 W, 100 %
2025/12/19 10:34:36.101, 318.97 W, 100 %
2025/12/19 10:34:37.101, 319.78 W, 100 %
2025/12/19 10:34:38.101, 319.24 W, 100 %
2025/12/19 10:34:39.101, 318.85 W, 100 %
2025/12/19 10:34:40.101, 319.86 W, 100 %
2025/12/19 10:34:41.102, 317.85 W, 100 %
2025/12/19 10:34:42.102, 318.70 W, 100 %
2025/12/19 10:34:43.102, 319.95 W, 100 %
2025/12/19 10:34:44.102, 318.87 W, 100 %
2025/12/19 10:34:45.102, 319.45 W, 100 %
2025/12/19 10:34:46.102, 319.28 W, 100 %
2025/12/19 10:34:47.102, 319.07 W, 100 %
2025/12/19 10:34:48.103, 318.48 W, 100 %
2025/12/19 10:34:49.103, 320.92 W, 100 %
2025/12/19 10:34:50.103, 319.12 W, 100 %
2025/12/19 10:34:51.103, 319.09 W, 100 %
2025/12/19 10:34:52.103, 320.42 W, 100 %
2025/12/19 10:34:53.103, 318.81 W, 100 %
2025/12/19 10:34:54.104, 318.58 W, 100 %
2025/12/19 10:34:55.104, 320.75 W, 100 %
2025/12/19 10:34:56.104, 319.63 W, 100 %
2025/12/19 10:34:57.104, 319.31 W, 100 %
2025/12/19 10:34:58.104, 319.61 W, 100 %
2025/12/19 10:34:59.104, 318.33 W, 100 %
2025/12/19 10:35:00.105, 318.90 W, 100 %
2025/12/19 10:35:01.105, 318.47 W, 100 %
2025/12/19 10:35:02.105, 319.70 W, 100 %
2025/12/19 10:35:03.105, 319.51 W, 100 %
2025/12/19 10:35:04.105, 319.21 W, 100 %
2025/12/19 10:35:05.105, 318.07 W, 100 %
2025/12/19 10:35:06.105, 319.33 W, 100 %
2025/12/19 10:35:07.106, 318.83 W, 100 %
2025/12/19 10:35:08.106, 319.89 W, 100 %
2025/12/19 10:35:09.106, 316.53 W, 100 %
2025/12/19 10:35:10.106, 318.18 W, 100 %
2025/12/19 10:35:11.106, 319.68 W, 100 %
2025/12/19 10:35:12.106, 317.04 W, 100 %
2025/12/19 10:35:13.107, 317.52 W, 100 %
2025/12/19 10:35:14.107, 319.01 W, 100 %
2025/12/19 10:35:15.107, 317.46 W, 100 %
2025/12/19 10:35:16.107, 319.10 W, 100 %
2025/12/19 10:35:17.107, 319.29 W, 100 %
2025/12/19 10:35:18.107, 317.52 W, 100 %
2025/12/19 10:35:19.108, 318.16 W, 100 %
2025/12/19 10:35:20.108, 319.44 W, 100 %
2025/12/19 10:35:21.108, 318.64 W, 100 %
2025/12/19 10:35:22.108, 318.35 W, 100 %
2025/12/19 10:35:23.108, 318.43 W, 100 %
2025/12/19 10:35:24.108, 319.70 W, 100 %
2025/12/19 10:35:25.108, 319.49 W, 100 %
2025/12/19 10:35:26.109, 318.73 W, 100 %
2025/12/19 10:35:27.109, 319.60 W, 100 %
2025/12/19 10:35:28.109, 319.08 W, 100 %
2025/12/19 10:35:29.109, 317.21 W, 100 %
2025/12/19 10:35:30.109, 318.88 W, 100 %
2025/12/19 10:35:31.109, 319.52 W, 100 %
2025/12/19 10:35:32.110, 318.16 W, 100 %
2025/12/19 10:35:33.110, 318.58 W, 100 %
2025/12/19 10:35:34.110, 319.58 W, 100 %
2025/12/19 10:35:35.110, 318.89 W, 100 %
2025/12/19 10:35:36.110, 319.08 W, 100 %
2025/12/19 10:35:37.110, 320.01 W, 100 %
2025/12/19 10:35:38.110, 316.75 W, 100 %
2025/12/19 10:35:39.110, 319.51 W, 100 %
2025/12/19 10:35:40.110, 319.75 W, 100 %
2025/12/19 10:35:41.110, 317.17 W, 100 %
2025/12/19 10:35:42.111, 318.90 W, 100 %
2025/12/19 10:35:43.111, 318.95 W, 100 %
2025/12/19 10:35:44.111, 318.43 W, 100 %
2025/12/19 10:35:45.111, 319.31 W, 100 %
2025/12/19 10:35:46.111, 318.57 W, 100 %
2025/12/19 10:35:47.111, 319.42 W, 100 %
2025/12/19 10:35:48.111, 319.08 W, 100 %
2025/12/19 10:35:49.111, 319.09 W, 100 %
2025/12/19 10:35:50.111, 318.58 W, 100 %
2025/12/19 10:35:51.112, 317.99 W, 100 %
2025/12/19 10:35:52.112, 318.08 W, 100 %
2025/12/19 10:35:53.112, 319.24 W, 100 %
2025/12/19 10:35:54.112, 318.83 W, 100 %
2025/12/19 10:35:55.112, 319.36 W, 100 %
2025/12/19 10:35:56.112, 316.40 W, 100 %
2025/12/19 10:35:57.112, 318.72 W, 100 %
2025/12/19 10:35:58.112, 318.83 W, 100 %
2025/12/19 10:35:59.112, 319.40 W, 100 %
2025/12/19 10:36:00.112, 319.01 W, 100 %
2025/12/19 10:36:01.112, 319.31 W, 100 %
2025/12/19 10:36:02.112, 317.24 W, 100 %
2025/12/19 10:36:03.113, 317.87 W, 100 %
2025/12/19 10:36:04.113, 318.71 W, 100 %
2025/12/19 10:36:05.114, 317.54 W, 100 %
2025/12/19 10:36:06.114, 318.73 W, 100 %
2025/12/19 10:36:07.114, 319.14 W, 100 %
2025/12/19 10:36:08.114, 319.19 W, 100 %
2025/12/19 10:36:09.114, 319.05 W, 100 %
2025/12/19 10:36:10.114, 317.43 W, 100 %
2025/12/19 10:36:11.114, 320.70 W, 100 %
2025/12/19 10:36:12.114, 319.03 W, 100 %
2025/12/19 10:36:13.114, 318.80 W, 100 %
2025/12/19 10:36:14.115, 320.45 W, 100 %
2025/12/19 10:36:15.115, 319.18 W, 100 %
2025/12/19 10:36:16.115, 317.19 W, 100 %
2025/12/19 10:36:17.115, 320.48 W, 100 %
2025/12/19 10:36:18.115, 319.12 W, 100 %
2025/12/19 10:36:19.115, 319.51 W, 100 %
2025/12/19 10:36:20.115, 320.18 W, 100 %
2025/12/19 10:36:21.115, 319.04 W, 100 %
2025/12/19 10:36:22.115, 318.79 W, 100 %
2025/12/19 10:36:23.116, 320.79 W, 100 %
2025/12/19 10:36:24.116, 318.57 W, 100 %
2025/12/19 10:36:25.116, 319.48 W, 100 %
2025/12/19 10:36:26.116, 321.84 W, 100 %
2025/12/19 10:36:27.116, 318.42 W, 100 %
2025/12/19 10:36:28.116, 318.92 W, 100 %
2025/12/19 10:36:29.116, 321.15 W, 100 %
