         Time         	W	
 03/01/2011 06:44:54	-64,3000	
 03/01/2011 06:44:55	-65,6570	
 03/01/2011 06:44:56	-65,7050	
 03/01/2011 06:44:57	-66,4330	
 03/01/2011 06:44:58	-67,3200	
 03/01/2011 06:44:59	-66,7350	
 03/01/2011 06:45:00	-67,7910	
 03/01/2011 06:45:01	-66,4870	
 03/01/2011 06:45:02	-64,4510	
 03/01/2011 06:45:03	-63,2610	
 03/01/2011 06:45:04	-61,5700	
 03/01/2011 06:45:05	-64,8630	
 03/01/2011 06:45:06	-66,1890	
 03/01/2011 06:45:07	-67,7070	
 03/01/2011 06:45:08	-67,4400	
 03/01/2011 06:45:09	-65,0940	
 03/01/2011 06:45:10	-64,8900	
 03/01/2011 06:45:11	-65,1030	
 03/01/2011 06:45:12	-67,7510	
 03/01/2011 06:45:13	-68,2960	
 03/01/2011 06:45:14	-68,1040	
 03/01/2011 06:45:15	-68,2940	
 03/01/2011 06:45:16	-66,1460	
 03/01/2011 06:45:17	-64,7190	
 03/01/2011 06:45:18	-63,8650	
 03/01/2011 06:45:19	-62,2150	
 03/01/2011 06:45:20	-62,8120	
 03/01/2011 06:45:21	-63,5610	
 03/01/2011 06:45:22	-64,3270	
 03/01/2011 06:45:23	-63,9030	
 03/01/2011 06:45:24	-62,8580	
 03/01/2011 06:45:25	-62,4420	
 03/01/2011 06:45:26	-62,1110	
 03/01/2011 06:45:27	-63,0050	
 03/01/2011 06:45:28	-66,0260	
 03/01/2011 06:45:29	-67,0570	
 03/01/2011 06:45:30	-67,0240	
 03/01/2011 06:45:31	-68,8740	
 03/01/2011 06:45:32	-68,1080	
 03/01/2011 06:45:33	-68,9320	
 03/01/2011 06:45:34	-71,4110	
 03/01/2011 06:45:35	-72,2160	
 03/01/2011 06:45:36	-71,5050	
 03/01/2011 06:45:37	-70,3320	
 03/01/2011 06:45:38	-68,3140	
 03/01/2011 06:45:39	-67,1510	
 03/01/2011 06:45:40	-66,0180	
 03/01/2011 06:45:41	-65,0920	
 03/01/2011 06:45:42	-64,6090	
 03/01/2011 06:45:43	-62,7450	
 03/01/2011 06:45:44	-63,5530	
 03/01/2011 06:45:45	-65,1970	
 03/01/2011 06:45:46	-64,3620	
 03/01/2011 06:45:47	-64,7300	
 03/01/2011 06:45:48	-63,3450	
 03/01/2011 06:45:49	-62,4750	
 03/01/2011 06:45:50	-62,3570	
 03/01/2011 06:45:51	-62,2020	
 03/01/2011 06:45:52	-63,7920	
 03/01/2011 06:45:53	-63,4880	
 03/01/2011 06:45:54	-65,4220	
 03/01/2011 06:45:55	-65,9910	
 03/01/2011 06:45:56	-65,3710	
 03/01/2011 06:45:57	-65,9250	
 03/01/2011 06:45:58	-65,1860	
 03/01/2011 06:45:59	-64,7050	
 03/01/2011 06:46:00	-65,0460	
 03/01/2011 06:46:01	-66,2470	
 03/01/2011 06:46:02	-65,5750	
 03/01/2011 06:46:03	-65,0410	
 03/01/2011 06:46:04	-64,8230	
 03/01/2011 06:46:05	-64,8710	
 03/01/2011 06:46:06	-65,7500	
 03/01/2011 06:46:07	-66,1560	
 03/01/2011 06:46:08	-65,5040	
 03/01/2011 06:46:09	-64,6840	
 03/01/2011 06:46:10	-63,3450	
 03/01/2011 06:46:11	-63,1030	
 03/01/2011 06:46:12	-63,6910	
 03/01/2011 06:46:13	-62,8980	
 03/01/2011 06:46:14	-64,2670	
 03/01/2011 06:46:15	-66,3790	
 03/01/2011 06:46:16	-65,3960	
 03/01/2011 06:46:17	-65,7770	
 03/01/2011 06:46:18	-64,5750	
 03/01/2011 06:46:19	-62,1660	
 03/01/2011 06:46:20	-62,0650	
 03/01/2011 06:46:21	-64,0400	
 03/01/2011 06:46:22	-65,3660	
 03/01/2011 06:46:23	-66,3640	
 03/01/2011 06:46:24	-67,3590	
 03/01/2011 06:46:25	-66,2480	
 03/01/2011 06:46:26	-65,1680	
 03/01/2011 06:46:27	-63,8530	
 03/01/2011 06:46:28	-64,2450	
 03/01/2011 06:46:29	-62,4800	
 03/01/2011 06:46:30	-62,5370	
 03/01/2011 06:46:31	-63,6630	
 03/01/2011 06:46:32	-63,1270	
 03/01/2011 06:46:33	-63,0860	
 03/01/2011 06:46:34	-64,4580	
 03/01/2011 06:46:35	-64,2300	
 03/01/2011 06:46:36	-63,2350	
 03/01/2011 06:46:37	-63,5830	
 03/01/2011 06:46:38	-62,2780	
 03/01/2011 06:46:39	-62,8210	
 03/01/2011 06:46:40	-64,2860	
 03/01/2011 06:46:41	-64,2460	
 03/01/2011 06:46:42	-63,8340	
 03/01/2011 06:46:43	-62,5420	
 03/01/2011 06:46:44	-61,9940	
 03/01/2011 06:46:45	-62,6080	
 03/01/2011 06:46:46	-62,2310	
 03/01/2011 06:46:47	-63,5720	
 03/01/2011 06:46:48	-64,0770	
 03/01/2011 06:46:49	-62,9320	
 03/01/2011 06:46:50	-64,2010	
 03/01/2011 06:46:51	-63,5400	
 03/01/2011 06:46:52	-62,5870	
 03/01/2011 06:46:53	-62,3290	
 03/01/2011 06:46:54	-63,6430	
 03/01/2011 06:46:55	-63,8440	
 03/01/2011 06:46:56	-64,7080	
 03/01/2011 06:46:57	-64,3700	
 03/01/2011 06:46:58	-63,0300	
 03/01/2011 06:46:59	-62,7990	
 03/01/2011 06:47:00	-61,8140	
 03/01/2011 06:47:01	-63,3810	
 03/01/2011 06:47:02	-63,2760	
 03/01/2011 06:47:03	-62,9710	
 03/01/2011 06:47:04	-65,0880	
 03/01/2011 06:47:05	-64,9980	
 03/01/2011 06:47:06	-64,4020	
 03/01/2011 06:47:07	-64,2680	
 03/01/2011 06:47:08	-62,6790	
 03/01/2011 06:47:09	-60,8820	
 03/01/2011 06:47:10	-61,3340	
 03/01/2011 06:47:11	-61,4050	
 03/01/2011 06:47:12	-62,4050	
 03/01/2011 06:47:13	-62,6690	
 03/01/2011 06:47:14	-63,8850	
 03/01/2011 06:47:15	-65,6640	
 03/01/2011 06:47:16	-67,1340	
 03/01/2011 06:47:17	-67,6670	
 03/01/2011 06:47:18	-67,7630	
 03/01/2011 06:47:19	-65,9570	
 03/01/2011 06:47:20	-63,3420	
 03/01/2011 06:47:21	-62,7250	
 03/01/2011 06:47:22	-63,1160	
 03/01/2011 06:47:23	-64,8880	
 03/01/2011 06:47:24	-66,3430	
 03/01/2011 06:47:25	-65,7660	
 03/01/2011 06:47:26	-64,2100	
 03/01/2011 06:47:27	-62,6610	
 03/01/2011 06:47:28	-61,9400	
 03/01/2011 06:47:29	-63,1530	
 03/01/2011 06:47:30	-63,7580	
 03/01/2011 06:47:31	-65,1220	
 03/01/2011 06:47:32	-66,2450	
 03/01/2011 06:47:33	-66,3980	
 03/01/2011 06:47:34	-68,8850	
 03/01/2011 06:47:35	-67,3240	
 03/01/2011 06:47:36	-65,6460	
 03/01/2011 06:47:37	-63,8790	
 03/01/2011 06:47:38	-61,5380	
 03/01/2011 06:47:39	-62,4270	
 03/01/2011 06:47:40	-63,6830	
 03/01/2011 06:47:41	-64,7040	
 03/01/2011 06:47:42	-63,6890	
 03/01/2011 06:47:43	-62,7600	
 03/01/2011 06:47:44	-61,3380	
 03/01/2011 06:47:45	-62,6120	
 03/01/2011 06:47:46	-63,7200	
 03/01/2011 06:47:47	-64,5040	
 03/01/2011 06:47:48	-65,3400	
 03/01/2011 06:47:49	-65,0800	
 03/01/2011 06:47:50	-65,2340	
 03/01/2011 06:47:51	-64,4630	
 03/01/2011 06:47:52	-63,8020	
 03/01/2011 06:47:53	-63,4480	
 03/01/2011 06:47:54	-64,0460	
 03/01/2011 06:47:55	-64,7490	
 03/01/2011 06:47:56	-65,7970	
 03/01/2011 06:47:57	-66,4630	
 03/01/2011 06:47:58	-65,7960	
 03/01/2011 06:47:59	-67,0150	
 03/01/2011 06:48:00	-65,6880	
 03/01/2011 06:48:01	-65,3400	
 03/01/2011 06:48:02	-65,2860	
 03/01/2011 06:48:03	-63,6920	
 03/01/2011 06:48:04	-64,7630	
 03/01/2011 06:48:05	-64,3230	
 03/01/2011 06:48:06	-64,2700	
 03/01/2011 06:48:07	-65,3780	
 03/01/2011 06:48:08	-65,3610	
 03/01/2011 06:48:09	-65,5590	
 03/01/2011 06:48:10	-64,8620	
 03/01/2011 06:48:11	-62,5980	
 03/01/2011 06:48:12	-62,2030	
 03/01/2011 06:48:13	-61,4680	
 03/01/2011 06:48:14	-62,6740	
