         Time         	W	
 09/11/2010 00:47:50	-407,520	
 09/11/2010 00:47:51	-407,280	
 09/11/2010 00:47:52	-406,650	
 09/11/2010 00:47:53	-407,790	
 09/11/2010 00:47:54	-407,200	
 09/11/2010 00:47:55	-407,340	
 09/11/2010 00:47:56	-408,120	
 09/11/2010 00:47:57	-407,960	
 09/11/2010 00:47:58	-407,990	
 09/11/2010 00:47:59	-408,400	
 09/11/2010 00:48:00	-408,620	
 09/11/2010 00:48:01	-409,140	
 09/11/2010 00:48:02	-409,220	
 09/11/2010 00:48:03	-409,030	
 09/11/2010 00:48:04	-408,640	
 09/11/2010 00:48:05	-408,720	
 09/11/2010 00:48:06	-408,700	
 09/11/2010 00:48:07	-408,950	
 09/11/2010 00:48:08	-408,960	
 09/11/2010 00:48:09	-408,830	
 09/11/2010 00:48:10	-409,120	
 09/11/2010 00:48:11	-408,920	
 09/11/2010 00:48:12	-409,280	
 09/11/2010 00:48:13	-409,190	
 09/11/2010 00:48:14	-408,820	
 09/11/2010 00:48:15	-408,690	
 09/11/2010 00:48:16	-408,400	
 09/11/2010 00:48:17	-408,970	
 09/11/2010 00:48:18	-408,540	
 09/11/2010 00:48:19	-408,450	
 09/11/2010 00:48:20	-408,300	
 09/11/2010 00:48:21	-407,280	
 09/11/2010 00:48:22	-407,470	
 09/11/2010 00:48:23	-407,540	
 09/11/2010 00:48:24	-407,600	
 09/11/2010 00:48:25	-408,350	
 09/11/2010 00:48:26	-408,030	
 09/11/2010 00:48:27	-407,530	
 09/11/2010 00:48:28	-408,800	
 09/11/2010 00:48:29	-408,300	
 09/11/2010 00:48:30	-408,010	
 09/11/2010 00:48:31	-409,350	
 09/11/2010 00:48:32	-407,970	
 09/11/2010 00:48:33	-407,710	
 09/11/2010 00:48:34	-408,870	
 09/11/2010 00:48:35	-407,510	
 09/11/2010 00:48:36	-408,220	
 09/11/2010 00:48:37	-408,860	
 09/11/2010 00:48:38	-408,900	
 09/11/2010 00:48:39	-410,100	
 09/11/2010 00:48:40	-409,620	
 09/11/2010 00:48:41	-409,640	
 09/11/2010 00:48:42	-409,510	
 09/11/2010 00:48:43	-408,850	
 09/11/2010 00:48:44	-409,000	
 09/11/2010 00:48:45	-409,030	
 09/11/2010 00:48:46	-408,640	
 09/11/2010 00:48:47	-408,750	
 09/11/2010 00:48:48	-408,660	
 09/11/2010 00:48:49	-408,660	
 09/11/2010 00:48:50	-409,060	
 09/11/2010 00:48:51	-408,730	
 09/11/2010 00:48:52	-408,630	
